FID,Building's construction year,Number of floors,Number of apartments,Total electricity consumption (kWh),Latitude,Longitude,Area in m^2
0,1936,1,2,6.954,35.52394119,33.89212835,149.034627449999
1,1930,3,6,15.804,35.47302358,33.89490611,254.431543519999
2,1930,4,10,171.478,35.4749135699999,33.89498668,254.06783887
3,1920,3,2,8.189,35.53109355,33.89189614,65.3911690715
4,1970,7,14,108.555,35.5257883199999,33.88925571,147.933394985999
5,1950,2,2,18.78,35.51907121,33.88470952,73.2018533731999
6,1970,6,12,72.23,35.51769851,33.8855113099999,141.189725857
7,1920,2,2,8.169,35.49067164,33.89625336,208.127880549999
8,1940,2,2,5.468,35.5338564099999,33.89375099,206.470417012
9,1970,4,4,18.37,35.5290365999999,33.89249935,75.722104711
10,2013,28,112,2.729,35.5284927599999,33.87786382,476.37863231
11,1950,6,12,153.765999999999,35.4732797799999,33.8970717999999,299.832568449999
12,1990,11,12,70.53,35.48955987,33.89691366,282.495435477999
13,1950,3,3,34.667,35.49241896,33.8992131099999,128.469137283999
14,1950,4,8,224.967,35.4912483,33.9006356499999,193.138230267
15,1980,10,20,41.988,35.49082845,33.8995703,273.821589867999
16,1950,4,6,21.088,35.53406514,33.89441458,185.732663298999
17,1940,2,1,30.1729999999999,35.52938427,33.89348231,106.934888419
18,1930,2,4,9.528,35.5323777699999,33.89224003,87.5498981288999
19,2010,6,6,23.837,35.53153151,33.89381489,169.875382997999
20,1976,3,3,8.71599999999999,35.5279681,33.89344899,162.914779753999
21,1970,6,6,17.4819999999999,35.53057261,33.89323719,196.822769192999
22,1960,8,9,8.978,35.5284272399999,33.89276006,139.073260169
23,1960,2,2,96.3419999999999,35.5278799,33.89304735,129.664064966
24,1960,3,4,15.849,35.53077446,33.8929414899999,171.073589999
25,1980,5,5,6.209,35.5304657399999,33.8928361299999,140.17714086
26,1970,3,3,72.0,35.5305171899999,33.8927107499999,177.708716200999
27,1960,5,10,11.4079999999999,35.5293139699999,33.8927132999999,149.459780125999
28,1905,1,2,57.1809999999999,35.52840983,33.89228148,194.937361119999
29,1910,1,2,17.384,35.47233568,33.8972848599999,178.563868781999
30,1950,2,2,152.899,35.53154628,33.89229959,52.564211489
31,1950,2,2,13.801,35.52767198,33.89110963,67.7086905513999
32,1950,4,4,7.192,35.5274931,33.8912005199999,51.4816672374
33,1950,3,3,8.226,35.49327291,33.90072923,472.132162638
34,1970,5,10,6.042,35.4935423399999,33.9016950199999,808.536766426999
35,1940,7,29,215.418,35.49452453,33.8988768899999,488.196744674999
36,1980,11,22,116.337999999999,35.4908375699999,33.89993323,264.243787784
37,1960,10,20,149.548,35.49108944,33.89997075,258.031619255
38,1990,12,12,249.173,35.49161378,33.8997987999999,292.217159621999
39,1920,4,4,9.379,35.4884906599999,33.8997419399999,340.769808857999
40,1950,6,6,80.7339999999999,35.4889885799999,33.90013942,151.584814110999
41,1920,3,4,14.7289999999999,35.4884479099999,33.8999499099999,167.767814412999
42,1950,6,14,36.1589999999999,35.48843114,33.9000754899999,252.278361692
43,1950,9,9,31.187,35.4892881,33.9004993,182.411510810999
44,1920,2,2,7.748,35.48894612,33.90058769,210.891202561
45,1960,6,12,231.361999999999,35.4893160499999,33.9002957,485.11552788
46,1920,3,3,3.296,35.4884609499999,33.90064429,278.233980733999
47,1950,3,4,26.9789999999999,35.4882089199999,33.9006724099999,76.6139283117999
48,1920,2,2,8.531,35.4864963699999,33.9003418499999,208.584631204999
49,1950,4,4,8.531,35.4864955099999,33.9004872699999,108.483752842
50,1950,6,14,41.6899999999999,35.48655552,33.90081422,317.887048444
51,1950,6,12,88.7429999999999,35.48654564,33.90062279,263.341004097999
52,1950,5,10,27.5479999999999,35.48682809,33.90057731,239.515404315
53,1950,1,1,33.5409999999999,35.4875081799999,33.89984254,169.057163172
54,1990,11,11,5.355,35.4873119399999,33.90067363,413.716722156999
55,1920,3,3,3.259,35.4873519,33.8999878799999,103.362130617999
56,1950,4,4,16.2989999999999,35.48751155,33.89992224,119.354745308999
57,1920,2,2,2.515,35.4876029699999,33.8999877099999,123.722516232999
58,1960,6,7,107.278999999999,35.4871266,33.8998939299999,653.129977750999
59,1950,4,4,17.4759999999999,35.4866627199999,33.9000114999999,194.725077203
60,1950,4,4,27.5399999999999,35.4905694099999,33.9008636499999,180.986465710999
