,Building's construction year,Number of floors,Number of apartments,Total electricity consumption (kWh),Longitude,Latitude
176,1940,4,8,2.47,35.53362407,33.89468552
185,1920,2,2,8.967,35.53440876,33.89450004
186,1920,1,1,1.03,35.53423103,33.89450489
189,1950,4,6,21.088,35.53406514,33.89441458
196,1940,5,10,22.724,35.53258413,33.89411828
201,1940,4,6,26.249,35.53289794,33.89395948
202,1920,2,2,7.476,35.53348105,33.89393272
206,1950,4,8,23.101,35.53384104,33.89389657
211,1900,2,2,1.346,35.53329342,33.89383261
213,1940,2,2,5.468,35.53385641,33.89375099
218,1930,2,2,10.801,35.53261731,33.89357631
219,1920,1,1,2.411,35.53279877,33.89357705
222,1920,1,1,12.912,35.53321981,33.89342903
225,1930,2,2,22.072,35.53254001,33.89332006
229,1940,2,2,22.608,35.53363341,33.89324699
230,1950,5,5,38.257,35.53314349,33.89317486
234,1920,2,2,4.425,35.53329607,33.89310945
236,1920,1,1,5.179,35.53244305,33.89299113
238,1930,2,1,5.355,35.53289129,33.89299016
242,1950,7,7,7.986,35.53239881,33.89282651
244,1930,2,1,4.635,35.53303203,33.89285833
245,1920,3,2,15.53,35.53231424,33.89275541
249,1940,5,10,59.269,35.53298241,33.89271996
252,1930,1,1,6.916,35.53261184,33.89263495
256,1930,2,2,4.498,35.53256192,33.89253692
258,1940,4,4,7.856,35.53267435,33.89251591
322,1960,2,2,5.727,35.53006234,33.89422519
323,1980,2,2,7.205,35.52996858,33.89413642
326,1970,2,2,50.307,35.5296324,33.89392858
327,1960,3,3,24,35.52985332,33.89384725
328,1970,2,1,20.569,35.53131334,33.89387938
332,1970,2,2,79.004,35.52958144,33.8937416
333,2010,6,6,23.837,35.53153151,33.89381489
343,1980,5,5,5.083,35.53105456,33.89364516
346,1976,3,3,51.677,35.5286626,33.8935244
349,1980,2,4,31,35.53190516,33.89360959
350,1940,2,1,30.173,35.52938427,33.89348231
351,1970,2,4,41.507,35.52840325,33.89344782
352,1970,2,2,11.839,35.53154995,33.89354094
356,1971,6,6,17.051,35.53182498,33.89348991
357,1960,2,2,6.882,35.52945876,33.89340553
358,1970,4,8,28.309,35.52905833,33.89337199
362,1960,3,2,111.814,35.52965862,33.89312956
366,1980,3,2,87.922,35.53175575,33.89326854
367,1970,3,2,232.391,35.53156639,33.89331578
369,1966,4,4,29.259,35.52901974,33.89321877
