iter,score,sil_mu,sil_sd,dunn_mu,dunn_sd,dbi_mu,dbi_sd,contamination,nu,kernel,gamma,degree,coef0,use_pca,pca_var,scaler
54,-0.3276706354618918,0.19081495355845168,0.0,0.017812644012620584,0.0,3.1046284263730874,4.440892098500626e-16,0.02,0.09313000857706834,sigmoid,auto,4,0.0,True,0.98,standard
5,-0.327670635461892,0.19081495355845157,0.0,0.01781264401262059,0.0,3.1046284263730883,4.440892098500626e-16,0.02,0.0993652452610125,sigmoid,auto,4,0.0,False,0.95,standard
18,-0.36725104485605464,0.2431684580382932,0.0,0.044688520195435816,0.0,3.657607303544792,4.440892098500626e-16,0.02,0.050663614085859496,sigmoid,scale,3,0.0,True,0.98,standard
4,-0.4577170085455956,0.30731215291912073,0.0,0.007721593336942296,0.0,4.498439426154771,0.0,0.02,0.09217246522785816,sigmoid,auto,3,1.0,False,0.95,robust
48,-0.5515876393894812,0.31985608939248744,0.0,0.006254121121217722,8.673617379884035e-19,5.180336214963512,0.0,0.02,0.04754535808949759,sigmoid,scale,4,1.0,False,0.95,standard
24,-0.5753877135899957,0.27750506078474796,0.0,0.03065540470167226,0.0,5.1820340487649155,0.0,0.04,0.09543162879913446,rbf,scale,3,0.0,False,0.98,robust
26,-0.5927325624130577,0.30115673348917077,0.0,0.046461397875472314,0.0,5.434384168828969,0.0,0.03,0.07087005116054851,rbf,auto,4,1.0,True,0.95,robust
38,-0.6002090165352496,0.3075113223165632,0.0,0.020584626041827418,0.0,5.470753991115338,0.0,0.02,0.08817703839075616,rbf,scale,4,1.0,False,0.98,robust
15,-0.6519546682705123,0.32296922044297033,0.0,0.035486366580279975,0.0,5.912698094837744,0.0,0.02,0.03148914149618731,rbf,auto,3,1.0,False,0.98,standard
70,-0.6563665620549232,0.28416160511653266,0.0,0.033214420861751956,0.0,5.757221939012894,0.0,0.04,0.0831538633644586,rbf,auto,3,0.5,False,0.98,standard
76,-0.6563665620549232,0.28416160511653266,0.0,0.033214420861751956,0.0,5.757221939012894,0.0,0.04,0.08493599855609968,rbf,scale,3,1.0,False,0.95,standard
2,-0.6681938404133831,0.27752365121503625,0.0,0.011638680696859244,1.734723475976807e-18,5.769133776254155,8.881784197001252e-16,0.03,0.08044916424405221,sigmoid,scale,3,0.5,False,0.95,robust
80,-0.6800629311568402,0.3117471315034893,0.0,0.03444161478715865,0.0,6.045975512707149,0.0,0.02,0.05945087402233591,rbf,scale,2,1.0,False,0.95,robust
19,-0.6842728319893671,0.28331409787370604,0.0,0.020390568221608906,0.0,5.917935617042423,0.0,0.04,0.06930931430313352,rbf,auto,4,1.0,False,0.95,standard
31,-0.691481918566022,0.27878748466317416,0.0,0.010811716169723316,0.0,5.928907245817832,0.0,0.03,0.061726373610247624,sigmoid,scale,2,1.0,True,0.95,robust
28,-0.6932995024963289,0.29890358624315105,0.0,0.026755084559191077,0.0,6.06147189337555,8.881784197001252e-16,0.02,0.014198412621780548,rbf,scale,2,0.5,True,0.95,robust
57,-0.7086889154837566,0.30568858492703943,0.0,0.046461397875472314,0.0,6.228575162677015,0.0,0.02,0.05043185486359854,rbf,scale,4,1.0,True,0.98,robust
77,-0.719477548957832,0.25547223108123734,0.0,0.010756175736240886,1.734723475976807e-18,6.00664769765839,8.881784197001252e-16,0.05,0.08831271129858498,sigmoid,scale,3,0.5,True,0.98,robust
73,-0.7276324090516139,-0.08000291633352768,0.0,0.010293068590000173,0.0,4.49469089843763,0.0,0.04,0.05126392165103769,poly,scale,3,0.0,False,0.95,robust
56,-0.7561275645804106,0.28250092930114346,0.0,0.03065540470167226,0.0,6.410280441777528,8.881784197001252e-16,0.04,0.05247519643461084,rbf,auto,4,0.0,False,0.95,robust
79,-0.7627800217770627,0.2610988924871801,0.0,0.03065540470167226,0.0,6.354753984623379,0.0,0.05,0.08040310300487447,rbf,scale,2,0.0,False,0.95,robust
44,-0.804408249780644,0.2656470017868513,0.0,0.033214420861751956,0.0,6.6577650416458525,0.0,0.05,0.06910025500438843,rbf,auto,2,0.0,False,0.95,standard
71,-0.804408249780644,0.2656470017868513,0.0,0.033214420861751956,0.0,6.6577650416458525,0.0,0.05,0.0669742619337104,rbf,auto,4,0.5,False,0.95,standard
33,-0.8657895923005575,0.2884912806425625,0.0,0.020684364087239945,0.0,7.152697198481075,0.0,0.03,0.05497935002942577,rbf,scale,2,1.0,True,0.95,robust
46,-0.8753809050485201,0.26443173356106875,0.0,0.007049246598275459,0.0,7.081636201272247,0.0,0.04,0.06032065635795339,sigmoid,scale,3,0.5,True,0.95,robust
25,-0.8890427044707159,-0.22464489544844427,0.0,0.019403346101585683,0.0,4.910947427881343,0.0,0.03,0.041492400931187244,poly,auto,4,0.0,False,0.98,robust
72,-0.9063082328613994,0.19099747725613078,2.7755575615628914e-17,0.016672720779576683,0.0,6.961164314237235,8.881784197001252e-16,0.05,0.059682156033996125,sigmoid,scale,2,0.0,True,0.98,robust
6,-0.9157057647645994,0.2843597180750734,0.0,0.028802209871126843,0.0,7.479720799232883,0.0,0.03,0.023237534324202405,rbf,scale,3,0.5,True,0.95,robust
39,-0.9725133831118614,0.272569818098181,0.0,0.020684364087239945,0.0,7.7898889786826535,0.0,0.04,0.05334167924073089,rbf,scale,3,0.0,True,0.98,robust
52,-0.9785710268953919,0.27407253330467285,0.0,0.028744596157881764,0.0,7.850719661654222,8.881784197001252e-16,0.03,0.011484738277892141,rbf,scale,4,0.0,False,0.95,robust
43,-0.9787743401546944,0.2669989721838624,0.0,0.03034218178406385,0.0,7.821727774196094,0.0,0.04,0.043183543726621997,rbf,scale,3,0.0,False,0.95,standard
37,-0.9957727937978466,0.29402420636667076,0.0,0.012192387346522166,1.734723475976807e-18,8.030918900607645,0.0,0.03,0.06517931443772502,sigmoid,auto,3,0.5,True,0.95,standard
8,-0.9982091192089559,-0.20227347849051144,0.0,0.018244668154340254,0.0,5.741192342027887,0.0,0.05,0.0750613361866615,poly,auto,2,1.0,False,0.95,robust
49,-1.0040105006351856,0.2898363330494569,0.0,0.012090631258861952,0.0,8.066123943896807,0.0,0.03,0.057590864515879414,sigmoid,auto,3,1.0,True,0.98,standard
