fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,fused_rank,is_anomaly_fused
1402,0.6931471805599453,1.0986122886681098,6.888572459565364,35.5348207899999,33.8972030099999,4.2383937663788585,-0.4228999466420856,3.302366304315946,4.954400116953394,1.625279018247219,6.270248868157708,9.93810932621924,0.7791551437509254,0.723098155955676,1,2.0266023981870966,1,27828.612362285043,1,2.7947965203441694,1,0.9988636363636363,1
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,35.49012638,33.89096948,4.935594204931416,-1.1924218391670918,3.302366304315946,4.700186616224821,1.3973382018991465,9.949826710759112,9.949826710759112,0.6690919405441346,0.7225549841708585,1,2.372595534590656,1,25468.699867901778,1,1.5505798700606404,1,0.9987215909090909,1
10,2.70805020110221,3.49650756146648,1.3161401011966838,35.5284927599999,33.87786382,6.168309954440534,2.9215868500403963,-2.034824342843683,4.926950383631272,0.2133712655359028,0.37641563132918776,0.4860102300396789,-0.32988360796928234,0.689311267441901,1,2.391616080722362,1,27371.10507570413,1,2.806725466072912,1,0.9985795454545454,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,3.302366304315946,4.687428081492829,1.433151154474292,9.90388184573618,9.90388184573618,0.68942389323108,0.7221824509750944,1,2.3538729606355338,1,25207.550396609728,1,1.2950779096693381,1,0.9977272727272728,1
1731,0.6931471805599453,0.6931471805599453,6.823286122355687,35.5308217899999,33.90059403,5.723878169971074,-0.4228999466420856,3.302366304315946,4.008445926610623,1.1920739609994475,9.843921051289035,9.843921051289035,0.5769455963687352,0.7048809029242904,1,2.2807617500151025,1,18003.187357678333,1,1.8413059470726667,1,0.9977272727272727,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,3.302366304315946,4.470644949516924,1.4633464844662087,8.885696373339394,8.885696373339394,0.7846129694418736,0.7156204631818854,1,2.0797590564887307,1,17931.569515980125,1,1.1115905703780653,1,0.9963068181818182,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,35.53012838,33.8885053099999,4.269440130803286,-1.1924218391670918,3.302366304315946,4.20750081194961,1.393165100563557,8.581200581924957,8.581200581924957,0.7734893108091465,0.6975910897029833,1,1.9619022644228985,1,14103.169026053962,1,1.13956956994905,1,0.9951704545454545,1
1237,1.0986122886681098,1.0986122886681098,6.891625897052253,35.5288938799999,33.8882689599999,4.141766950355076,-1.1924218391670918,3.302366304315946,4.888160737682699,1.663933770214046,6.273028226734327,6.273028226734327,0.7973327190784677,0.7007274351650944,1,1.6482041871454125,1,18263.56564100938,1,1.094123411129599,1,0.995028409090909,1
809,1.0986122886681098,1.0986122886681098,6.652863029353347,35.5297230899999,33.88929386,4.185969496520373,-1.1924218391670918,3.302366304315946,4.635519180644257,1.589324297485589,6.055696898692869,6.055696898692869,0.7889131316081183,0.6943769293296168,1,1.6233520292044923,1,13268.308207509195,1,0.598932062105817,1,0.9928977272727273,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,35.52574879,33.89237268,3.942311872843169,-1.9043027771337224,3.302366304315946,3.30995586711294,1.1328145166338148,6.442943495848729,6.442943495848729,0.8376725157297871,0.6859699863933282,1,1.5146780741829298,1,6485.136973831441,1,1.1532540584776005,1,0.9923295454545453,1
