contamination,use_pca,use_fa,lof_neighbors,if_estimators,if_max_features,use_ae,use_ocsvm,use_copula,use_hdbscan,hdb_min_cluster,stage,silhouette,dunn,dbi,score,time_sec,rho_bootstrap,jacc_topk,rho_seed,rho_noise,out_dir
0.02,1,0,20,200,0.6,0,1,1,0,5,1,0.5849366865385508,0.06387250003488014,1.1886782960653157,0.720959189700529,10.84,0.9940995347271677,0.8814102564102565,0.9986238502608331,0.997599003365349,data\tuning_runs_asha\stage1_wide\75ca7e4cc9
0.02,0,0,50,100,1.0,0,1,0,1,5,1,0.6151127829307407,0.05191639516716484,1.077456124032644,0.7158474009024371,8.99,0.9638829573719364,0.8044871794871795,0.99738904588568,0.9744576212778838,data\tuning_runs_asha\stage1_wide\4b8e357989
0.02,1,0,10,400,0.6,0,0,1,0,5,1,0.58813733071764,0.04759024020402728,1.1657152190607811,0.7046697238804371,13.44,0.9899774235389479,0.8333333333333334,0.9990398709976123,0.9974650011549457,data\tuning_runs_asha\stage1_wide\ff6a3f1af1
0.02,1,0,10,300,0.6,0,0,0,0,5,1,0.5873588858987802,0.04759024020402728,1.1421402279297537,0.6938934773861816,10.38,0.9828719236114206,0.7628205128205128,0.9980403521933834,0.994527905064318,data\tuning_runs_asha\stage1_wide\27a8d5fb39
0.03,1,0,30,200,0.8,0,0,1,1,5,1,0.5647826238633736,0.04703393309996374,1.1771968045052232,0.6913022031890519,10.31,0.96790130041454,0.8300653594771242,0.998671544334333,0.9862123064421118,data\tuning_runs_asha\stage1_wide\2a914e0425
0.03,1,0,50,400,0.6,0,1,1,1,20,1,0.5599408155499477,0.04436568622544537,1.2534352548661167,0.6844920793269734,13.93,0.9876143651645701,0.8594771241830065,0.9995202582509545,0.9971234327206467,data\tuning_runs_asha\stage1_wide\52de0ca440
0.03,1,0,30,100,0.8,0,0,0,1,10,1,0.5520063187122509,0.0598056618817088,1.3385560985789589,0.6763553609139541,7.28,0.9675107082550184,0.8360853113175094,0.9945935316784149,0.9889095060867882,data\tuning_runs_asha\stage1_wide\88c01e08f8
0.02,1,0,50,100,0.8,1,0,1,0,5,1,0.5871555612649142,0.04759024020402728,1.185853032806496,0.6705767231133248,45.26,0.9679533104750329,0.6973443223443223,0.9723871909299382,0.9857941343155672,data\tuning_runs_asha\stage1_wide\fc56468977
0.02,0,0,10,400,0.8,1,1,0,1,20,1,0.5884275068343481,0.06774757888155378,1.4090239092441132,0.668892169588175,49.46,0.9722592146931874,0.8397435897435898,0.9958681130535202,0.9825038803828418,data\tuning_runs_asha\stage1_wide\2c90ccd0bf
0.02,1,0,30,300,1.0,1,1,1,0,5,1,0.5843604635976416,0.04759024020402728,1.1755624873707315,0.6679212268702484,51.88,0.9785353021757267,0.6620879120879121,0.9813195188058346,0.9910906870948101,data\tuning_runs_asha\stage1_wide\63ef0c6746
