fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
173,0.6931471805599453,0.6931471805599453,6.8966943316227125,35.49012638,33.89096948,4.935594204931416,-1.1924218391670918,3.255240241225963,4.680119981042043,1.3973382018991465,9.949826710759112,9.949826710759112,0.6595437359849151,0.6835148902805612,1,2.665813143190144,1,1381.6881214837442,1,0.18540257779981095,1,0.9000176798616175,1,20.789787468128214,1,0.9984848484848484,1
1237,1.0986122886681098,1.0986122886681098,6.891625897052253,35.5288938799999,33.8882689599999,4.141766950355076,-1.1924218391670918,3.255240241225963,4.856342949357408,1.663933770214046,6.273028226734327,6.273028226734327,0.7859544682848196,0.6570255644322079,1,1.917826096581318,1,1057.381821203912,1,0.254270489430092,1,0.8140687239787305,1,20.814957730515435,1,0.9972222222222222,1
1503,1.0986122886681098,2.3978952727983707,6.692083742506628,35.53473521,33.89735031,5.152480489612228,-0.0156274398299077,3.255240241225963,3.352728580916626,1.2988081674444671,2.7908156867488594,6.091397130301264,0.6317811872919775,0.6767546268705414,1,1.7502729729163276,1,572.1668201656453,1,0.5920708907467973,1,0.7935151393521933,1,17.004213872070846,1,0.9954545454545453,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,35.4760073699999,33.89927499,4.739866625416941,-0.4228999466420856,3.255240241225963,3.3570085063427935,1.3982905337714144,2.7639700152229563,4.11802815284491,0.6867788692133541,0.6418846035061193,1,1.8070773426781812,1,603.8916999144337,1,0.3597686530383277,1,0.7591533393920097,1,16.623336203449664,1,0.993939393939394,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,35.53365058,33.89748196,4.208911186702726,-1.1924218391670918,3.255240241225963,4.397173741057557,1.4633464844662087,8.885696373339394,8.885696373339394,0.7734162344670733,0.654758903942132,1,2.3523324619749526,1,1201.6507461465098,1,6.328509906650126e-05,1,0.8771584221359113,1,18.02213219962147,1,0.993560606060606,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,35.52871152,33.8874534699999,5.607388376792881,0.4071381378692232,1.4431658540816308,1.4431658540816308,0.876176017356294,7.088046166153979,2.3626820553846595,0.2573686281575243,0.6518325969674011,1,1.692629485342818,1,283.1151780769386,1,0.7473865848644237,1,0.7544780177132272,1,19.01876625954218,1,0.9931818181818183,1
238,0.6931471805599453,0.6931471805599453,6.86484777797086,35.51629699,33.88447956,4.790037503398601,-0.4228999466420856,3.255240241225963,4.663126967378004,1.433151154474292,9.90388184573618,9.90388184573618,0.6795855437282741,0.7023663745660996,1,2.648316528852831,1,1387.903613418739,1,-0.00039886351978690726,0,0.899295359581822,1,21.795665558960454,1,0.9914141414141414,1
213,0.6931471805599453,0.6931471805599453,4.46763077196603,35.5159158299999,33.87216338,5.368793533702513,-1.1924218391670918,2.00127374154923,2.00127374154923,0.8321479945020331,6.4454287592383235,6.4454287592383235,0.37276042168250034,0.6413964849815197,1,1.535169137184607,1,336.0143027184814,1,0.5681867636414502,1,0.7915827992530441,1,16.27911044413279,1,0.991161616161616,1
531,0.6931471805599453,0.6931471805599453,5.948034989180646,35.53012838,33.8885053099999,4.269440130803286,-1.1924218391670918,3.255240241225963,4.243222557696239,1.393165100563557,8.581200581924957,8.581200581924957,0.7624513148082244,0.6321613529244461,1,2.24705900090179,1,1109.4158933904976,1,-4.765199964884559e-05,0,0.8658347535628564,1,15.80561830459711,1,0.9900252525252524,1
809,1.0986122886681098,1.0986122886681098,6.652863029353347,35.5297230899999,33.88929386,4.185969496520373,-1.1924218391670918,3.255240241225963,4.584498403941312,1.589324297485589,6.055696898692869,6.055696898692869,0.7776550316317192,0.6497409274261925,1,1.8362215813460403,1,953.7569760272759,1,-0.0002013257528639123,0,0.8031413876302572,1,18.625157253531228,1,0.9890151515151516,1
621,1.0986122886681098,1.0986122886681098,6.261491684321042,35.4876042,33.8905660499999,4.85297321985314,-0.0156274398299077,3.255240241225963,3.6252006015735083,1.2902382520278006,5.699455348266758,5.699455348266758,0.6707723479513602,0.6049337809714398,1,1.5907219039023577,1,662.2447805341639,1,0.000384233727749983,1,0.790920156534549,1,13.298793918867563,1,0.9883838383838383,1
895,1.0986122886681098,1.3862943611198906,6.648984550024776,35.53073967,33.8908452299999,5.214059831809923,-1.1924218391670918,3.255240241225963,3.792882728416979,1.2752029636216808,4.796228518634041,6.052166554668342,0.6243196944857444,0.6347212400912464,1,1.5706880569880415,1,653.3140229852846,1,0.00038428610135365915,1,0.7408065993691583,1,15.90324321928932,1,0.9883838383838383,1
376,0.6931471805599453,0.6931471805599453,4.465908118654584,35.52574879,33.89237268,3.9439513559839816,-1.9043027771337224,3.219442603808302,3.219442603808302,1.1323436106479001,6.442943495848729,6.442943495848729,0.8162987606131564,0.5669728727618885,1,1.6746875793680203,1,630.4043973417847,1,0.18075940835325888,1,0.792978090354901,1,11.873105719677797,1,0.9874999999999999,1
1510,2.19722457733622,2.19722457733622,6.641182169740591,35.52780327,33.8862673599999,5.0400698160457456,2.2605583165504184,2.7940139939618476,2.7940139939618476,1.3176766219780305,3.022532261036308,3.022532261036308,0.5543601767314265,0.6362241876073168,1,1.663559902217248,1,324.0290807260223,1,0.00011697360631979237,1,0.744097655623384,1,15.117984427272598,1,0.986868686868687,1
272,1.6094379124341005,1.3862943611198906,6.678342114654332,35.51788674,33.8867163099999,4.823764024172099,0.4071381378692232,3.255240241225963,3.727207648198126,1.3844670015342497,4.817405525085859,4.149487260775449,0.6748340559185332,0.6533887686472516,1,1.5852754704160454,1,588.4070081239712,1,-0.00018300080055011492,0,0.7699683642948254,1,16.964989836145726,1,0.9863636363636363,1
1750,1.0986122886681098,0.6931471805599453,4.959426206689514,35.5086712,33.88883598,5.715133645007413,-1.1924218391670918,2.0966259414182513,2.0966259414182513,0.8677708195016465,7.154939594045725,4.514264274889933,0.36685510289856604,0.6223544013464875,1,1.4350997791733706,0,323.6909604596687,1,0.14550702998296883,1,0.7347484694711186,1,13.647069305251927,1,0.9842171717171717,1
30,1.0986122886681098,1.0986122886681098,5.036296543097928,35.53154628,33.89229959,3.980881148967695,-0.0156274398299077,3.019154887935852,3.019154887935852,1.265121051002469,4.584234670452872,4.584234670452872,0.7584137217255948,0.6222849947836603,1,1.5198825234759803,1,467.299522239795,1,4.2838893755892116e-05,1,0.7505524545123682,1,13.004813934319518,1,0.9832070707070709,1
1519,0.6931471805599453,1.0986122886681098,2.2144094020903204,35.47581326,33.9001166299999,5.130497009205208,-4.421873160666376,-0.0968059948525899,0.0968059948525899,0.4316169365496553,2.0156423015938905,3.1947174628936,-0.01886873624112815,0.5634999127556043,1,1.838329199453477,1,151.46506392718925,0,0.27294217408436516,1,0.6627714162384795,1,12.901585981223231,1,0.9823232323232324,1
1355,1.3862943611198906,1.9459101490553128,6.466144724237619,35.5283341,33.9008645899999,4.780471619459692,-0.4228999466420856,3.255240241225963,3.4726184039514973,1.3526164861885424,3.322941055308622,4.664337463663974,0.6809454171791283,0.6374857213651123,1,1.667894146300834,1,537.6852031938038,1,-0.034496917225478096,0,0.7408065993691583,1,15.046572793061546,1,0.9820707070707071,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,35.52882155,33.8971046799999,5.4210132693519375,-8.152543360797848,1.2394749971286534,1.2394749971286534,0.5843854734643307,4.570402210259985,4.570402210259985,0.2286426790607779,0.595114878580553,1,1.5543614449722227,1,129.00966462089335,0,0.45809365207567687,1,0.7290957270300193,1,13.337506754198895,1,0.9819444444444444,1
1167,2.5649493574615367,2.6390573296152584,6.3676432991910925,35.52400982,33.88215428,5.403348883157606,2.2605583165504184,1.9418795412574523,1.9418795412574523,1.178462364153316,2.4128476587961867,2.4825610223716006,0.35938444532248265,0.5765780860586586,1,1.7630605900032674,1,147.0036277722407,0,0.015735346525857175,1,0.6641195717600229,1,10.956734325877262,1,0.9800505050505052,1
