contamination,use_pca,use_fa,lof_neighbors,if_estimators,if_max_features,use_ae,use_ocsvm,use_copula,use_hdbscan,hdb_min_cluster,stage,silhouette,dunn,dbi,score,time_sec,rho_bootstrap,jacc_topk,rho_seed,rho_noise,out_dir
0.02,1,0,20,200,0.6,0,1,1,0,5,2,0.6428544851684999,0.03834886450881296,0.8474166842619861,0.7732512253163101,20.96,0.9936921826758053,0.8435441370223979,0.997649935413577,0.996774467171768,data/tuning_runs_asha/stage2_medium/75ca7e4cc9
0.03,1,0,30,100,0.8,0,0,0,1,10,2,0.6080107806863209,0.045726441592557385,1.0766826084836274,0.7284567695139991,19.77,0.9544806232174761,0.8603683897801545,0.9942685806577654,0.9841576334350186,data/tuning_runs_asha/stage2_medium/88c01e08f8
0.02,0,1,30,400,0.8,0,0,1,1,30,2,0.5888702272533067,0.04355726779933558,0.999952235698373,0.7185838245134202,24.05,0.9851597195288644,0.8675889328063241,0.9987310779942848,0.8334070307162778,data/tuning_runs_asha/stage2_medium/2a3015fe4b
0.03,1,0,50,400,0.6,0,1,1,1,20,2,0.6025511938447369,0.02679898054168408,1.1782713977351167,0.7179838089506356,30.47,0.982434031767836,0.8805704099821746,0.99928448185503,0.9867889821374364,data/tuning_runs_asha/stage2_medium/52de0ca440
0.03,1,0,20,100,0.8,0,1,0,0,5,2,0.5911449227671092,0.03182177699643441,1.3017107240031964,0.7042498405052214,19.18,0.9879487777370608,0.8897244503862151,0.9944564013853074,0.9950108444615516,data/tuning_runs_asha/stage2_medium/dfb4565c17
0.04,1,0,50,300,0.6,0,1,0,1,30,2,0.5756299828397218,0.02679898054168408,1.2548855847629599,0.6934825924909498,25.94,0.9794225353779482,0.8669740887132192,0.9973744626357008,0.9930248419886731,data/tuning_runs_asha/stage2_medium/6d32ff0e1b
0.02,0,1,50,200,1.0,0,1,1,1,10,2,0.5753897320594911,0.03352170524747926,1.12859998921292,0.6917920182252681,14.41,0.9766004286514364,0.8443939393939394,0.998403783345853,0.8429797401219667,data/tuning_runs_asha/stage2_medium/d531c7497b
0.02,0,0,20,200,0.6,1,0,0,1,5,2,0.6164402677268933,0.050940798743225324,1.131451113874486,0.6634341068268865,159.97,0.9345470655170166,0.5677492877492878,0.9819407993452308,0.9567912296923632,data/tuning_runs_asha/stage2_medium/1722840c6f
0.02,1,0,10,400,0.6,0,0,1,0,5,2,0.5731287763272324,0.04687340064986708,1.318983450565853,0.6538350292116023,27.09,0.9888822093227296,0.6323052362707535,0.9975700502484506,0.9953204047226696,data/tuning_runs_asha/stage2_medium/ff6a3f1af1
0.02,0,0,50,100,1.0,0,1,0,1,5,2,0.6082613491810283,0.032833119749771024,1.2169618409493603,0.6527749535528634,22.02,0.9549707090571204,0.5675901365556538,0.9962727400585101,0.9762828725062997,data/tuning_runs_asha/stage2_medium/4b8e357989
0.03,0,0,50,400,0.6,1,0,0,0,5,2,0.5899653336355353,0.04058755650353918,1.4100493667333143,0.6468110957896949,126.36,0.9749372061375666,0.6441040588099411,0.9819004196060894,0.9713413460467467,data/tuning_runs_asha/stage2_medium/6f48f2b6ed
0.02,1,0,50,100,0.8,1,0,1,0,5,2,0.590516966462626,0.027471180966393133,1.2031019618028753,0.644208873292555,163.84,0.9711682427321934,0.4951566951566952,0.9797125718303931,0.9771345167696478,data/tuning_runs_asha/stage2_medium/fc56468977
0.03,1,0,30,200,0.8,0,0,1,1,5,2,0.5647230667145496,0.03896350598598276,1.4108441033155625,0.631338741812123,22.84,0.9674401640532738,0.6278912738155357,0.9981369003991781,0.9829272735954907,data/tuning_runs_asha/stage2_medium/2a914e0425
0.02,1,0,30,300,1.0,1,1,1,0,5,2,0.5810140165682395,0.02679898054168408,1.4093791279620542,0.6306180400503533,159.67,0.9789373605829662,0.5583308772963945,0.9856207270797177,0.9845999409991115,data/tuning_runs_asha/stage2_medium/63ef0c6746
0.03,0,0,30,200,0.6,1,1,0,0,5,2,0.5774469644917298,0.04058755650353918,1.5877929882874608,0.6280004880047025,137.2,0.9789942290316535,0.6687345239976819,0.9864956554710684,0.978517196691719,data/tuning_runs_asha/stage2_medium/658e4153a3
0.02,1,0,50,200,1.0,1,0,0,0,5,2,0.5920021161157825,0.027471180966393133,1.2573082838224916,0.6261379147338554,157.55,0.9551904800072212,0.46615581098339715,0.9666737862243785,0.9645702705271431,data/tuning_runs_asha/stage2_medium/c5ae734e3b
0.02,1,0,30,400,1.0,1,1,0,0,5,2,0.5715790065684322,0.02679898054168408,1.4784985709573393,0.6151956297911191,158.55,0.9679646458027708,0.5677492877492878,0.9781694351365688,0.9761622212716892,data/tuning_runs_asha/stage2_medium/137b421652
0.02,1,0,10,300,0.6,0,0,0,0,5,2,0.5539547734081234,0.04236397334568275,1.5204955870387806,0.6140135999443138,25.4,0.9809112556834568,0.6139719029374202,0.9952520799380726,0.9932166871825788,data/tuning_runs_asha/stage2_medium/27a8d5fb39
0.02,0,0,10,400,0.8,1,1,0,1,20,2,0.5769060232117998,0.03191825000721654,1.7374415441153954,0.6042253517597058,158.6,0.9653748891449329,0.6301566951566951,0.9891751720928703,0.9714219904857968,data/tuning_runs_asha/stage2_medium/2c90ccd0bf
0.03,1,0,10,200,0.8,1,1,0,1,10,2,0.5173702256263353,0.025584590434781708,1.7304810630568148,0.5555010223049242,151.77,0.9517316204307026,0.5788647814963603,0.9820619293767505,0.9728704007595769,data/tuning_runs_asha/stage2_medium/d56071bb6b
