use_pca,use_fa,lof_neighbors,if_estimators,if_max_features,use_ae,use_ocsvm,use_copula,use_hdbscan,hdb_min_cluster,contamination,silhouette,dunn,dbi,score,time_sec,rho_bootstrap,jacc_topk,rho_seed,rho_noise
1,0,20,200,0.8,0,0,1,1,20,0.02,0.653495629168415,0.04570186121645613,0.9151834249662261,0.25351021657416734,3.15,,,,
1,0,20,100,0.8,0,0,1,1,20,0.02,0.6550065480798216,0.02574018588795612,0.903188160618451,0.24748053233324813,2.73,,,,
1,1,40,200,0.6,0,0,0,1,20,0.02,0.6513430428377729,0.02574018588795612,0.9130749713542924,0.24466009863863963,2.61,,,,
0,0,40,100,0.8,0,0,1,1,20,0.02,0.6551543572712039,0.04934348529621665,1.0620719664025884,0.24110737611382976,2.85,,,,
1,1,20,100,0.8,0,1,0,0,20,0.02,0.6404594162486469,0.04140947456616074,0.985600923082457,0.23823340564254203,2.66,,,,
1,0,40,200,0.6,0,1,1,0,20,0.02,0.6456197409170087,0.034467763838101566,1.0205129690382284,0.23454567908992213,3.06,,,,
1,0,40,200,0.8,0,1,0,1,20,0.02,0.6451985065007831,0.02574018588795612,1.064863336230992,0.22640899398247477,3.28,,,,
0,0,20,200,0.6,0,0,1,1,20,0.02,0.6472851830882823,0.02577280926046566,1.098847728866394,0.224066942361688,2.84,,,,
0,0,20,200,1.0,1,0,0,0,20,0.02,0.6351028057634164,0.04592314998613783,1.1903815728163842,0.21688250559452493,10.35,,,,
0,0,20,100,1.0,1,1,0,1,20,0.02,0.6357107064933952,0.04592314998613783,1.2000734302382698,0.21621727021732579,9.23,,,,
0,0,20,200,0.6,1,1,1,1,20,0.02,0.6335835449138679,0.04592314998613783,1.2079806142726033,0.21436297102412877,9.12,,,,
0,0,20,100,0.6,0,1,0,1,20,0.02,0.6386969363100065,0.02577280926046566,1.166080648793753,0.21304952697981416,2.74,,,,
0,0,40,200,0.6,1,1,0,1,20,0.02,0.6310084362154414,0.04592314998613783,1.2303274816754906,0.21084072993462682,10.16,,,,
0,0,20,200,1.0,0,1,0,0,20,0.02,0.6344099708964441,0.04635450954430076,1.2772421710953563,0.20802257215640674,2.88,,,,
1,0,20,100,0.6,1,0,0,1,20,0.02,0.625583367212094,0.04629518926422015,1.2625391237050583,0.20505584694122922,8.55,,,,
1,1,20,100,0.6,1,0,0,1,20,0.02,0.625583367212094,0.04629518926422015,1.2625391237050583,0.20505584694122922,10.13,,,,
1,0,40,100,0.6,1,0,1,0,20,0.02,0.6255378371442737,0.039382480669721616,1.2362408225228643,0.20489782858773903,8.46,,,,
0,1,40,200,0.6,0,0,0,1,20,0.02,0.592248562257905,0.04832673472637332,1.1343993338928522,0.2020150416302166,3.16,,,,
1,1,40,100,0.8,1,0,1,1,20,0.02,0.6248075437630218,0.039382480669721616,1.2692719309987075,0.2012295710495288,10.18,,,,
1,1,40,100,0.6,1,1,1,1,20,0.02,0.6239843621438013,0.025872203553287072,1.2799287175547307,0.1943481907377424,9.69,,,,
1,0,20,200,0.6,1,1,0,1,20,0.02,0.6180901612150637,0.03488405051824382,1.3965161801691164,0.1833470827979177,8.61,,,,
1,0,40,100,1.0,1,1,0,1,20,0.02,0.6149037519392021,0.03488405051824382,1.4132998743747462,0.18007550873942393,10.32,,,,
1,0,40,100,0.6,1,1,1,0,20,0.02,0.6133514774103703,0.025872203553287072,1.3696176380956773,0.18006285631693228,9.13,,,,
1,0,40,100,0.8,1,1,0,1,20,0.02,0.6129570840312561,0.03488405051824382,1.4090179897890793,0.17953036324401764,10.1,,,,
0,1,20,100,0.6,1,0,1,0,20,0.02,0.5796416752295727,0.03450799603943218,1.2623072340426995,0.17739331262628924,8.66,,,,
0,1,40,200,1.0,1,1,1,1,20,0.02,0.5811830413997626,0.03450799603943218,1.31541836919711,0.1728528821959432,21.05,,,,
0,1,40,100,0.8,1,0,1,1,20,0.02,0.5762661487309231,0.03450799603943218,1.3524499911827614,0.16669127366295827,10.3,,,,
0,1,40,100,0.6,0,1,0,0,20,0.02,0.5784650019542646,0.044317982076311845,1.4066210709223737,0.16629758671541972,2.11,,,,
0,1,40,200,1.0,1,0,0,0,20,0.02,0.5561760118813036,0.03450799603943218,1.4662996860567596,0.1452612357507487,8.78,,,,
1,1,40,200,0.6,0,1,1,1,20,0.04,0.5657690277108222,0.025872203553287072,1.4911705536695485,0.14411633990977107,3.06,,,,
1,1,40,200,0.8,1,0,1,1,20,0.04,0.5432399139463319,0.020532242412343304,1.5728645929573213,0.1225463946423711,9.78,,,,
1,1,20,100,0.6,1,1,1,0,20,0.04,0.5419849517397852,0.025872203553287072,1.6096715046945507,0.12037420682175237,9.54,,,,
1,0,20,200,0.6,1,1,0,1,20,0.04,0.5417852226382345,0.025872203553287072,1.6155438598958334,0.11968710675084873,8.85,,,,
0,0,40,100,1.0,1,0,0,1,20,0.04,0.5405748377755871,0.019571688256337823,1.621690684376273,0.11594702575270135,9.51,,,,
0,0,20,100,0.8,0,1,1,1,20,0.04,0.555681496184143,0.045314582789018475,1.8041620550801238,0.11555037569966647,2.79,,,,
0,0,40,200,1.0,1,0,0,0,20,0.04,0.5291405859742295,0.02301598995945216,1.7487529218587798,0.09890139678501764,8.78,,,,
0,1,40,200,0.8,0,0,0,0,20,0.04,0.5090530730058899,0.03385718600476154,1.8118853680245124,0.08688087410239828,2.18,,,,
1,1,20,200,0.6,1,0,0,0,20,0.04,0.5142130322779465,0.021060072200816626,1.8932045888755122,0.07621008613174868,9.55,,,,
0,1,40,100,0.8,0,1,0,0,20,0.04,0.5083561184523022,0.025444322963201902,1.9149745458367693,0.07285833382775492,2.19,,,,
1,0,20,200,1.0,1,1,0,1,20,0.06,0.492550629419986,0.015875604001766224,1.8470762335591642,0.06791793295478307,10.39,,,,
